population,n_neurons,rate_hz,isi_cv,target_hz,match
L_L23e,207,0.016,nan,0.740,x
L_L23i,58,2.931,0.767,2.650,✓
L_L4e,219,5.677,0.691,4.400,✓
L_L4i,55,11.030,1.235,5.400,x
L_L5e,48,8.843,1.029,6.780,✓
L_L5i,11,12.929,1.599,8.310,x
L_L6e,144,2.955,0.683,1.100,x
L_L6i,29,11.609,0.966,7.610,x
R_L23e,207,0.038,nan,0.740,x
R_L23i,58,5.766,0.716,2.650,x
R_L4e,219,6.890,0.669,4.400,x
R_L4i,55,12.788,1.337,5.400,x
R_L5e,48,15.162,0.683,6.780,x
R_L5i,11,14.242,1.546,8.310,x
R_L6e,144,5.394,0.781,1.100,x
R_L6i,29,14.598,1.146,7.610,x
