population,n_neurons,rate_hz,isi_cv,target_hz,match
L_L23e,207,54.809,0.213,0.740,x
L_L23i,58,63.065,0.172,2.650,x
L_L4e,219,98.732,0.120,4.400,x
L_L4i,55,102.545,0.111,5.400,x
L_L5e,48,102.685,0.117,6.780,x
L_L5i,11,93.636,0.120,8.310,x
L_L6e,144,136.597,0.100,1.100,x
L_L6i,29,108.314,0.105,7.610,x
R_L23e,207,55.228,0.205,0.740,x
R_L23i,58,63.276,0.172,2.650,x
R_L4e,219,99.082,0.120,4.400,x
R_L4i,55,102.202,0.118,5.400,x
R_L5e,48,103.194,0.120,6.780,x
R_L5i,11,93.838,0.118,8.310,x
R_L6e,144,136.451,0.101,1.100,x
R_L6i,29,107.931,0.105,7.610,x
