population,n_neurons,rate_hz,isi_cv,target_hz,match
L_L23e,207,0.005,nan,0.740,x
L_L23i,58,3.870,0.926,2.650,✓
L_L4e,219,5.708,0.759,4.400,✓
L_L4i,55,10.848,1.420,5.400,x
L_L5e,48,16.250,0.904,6.780,x
L_L5i,11,14.444,1.579,8.310,x
L_L6e,144,4.884,0.553,1.100,x
L_L6i,29,14.215,1.174,7.610,x
R_L23e,207,0.011,nan,0.740,x
R_L23i,58,4.176,0.820,2.650,x
R_L4e,219,4.947,0.758,4.400,✓
R_L4i,55,9.515,1.335,5.400,x
R_L5e,48,12.014,1.019,6.780,x
R_L5i,11,12.626,1.574,8.310,x
R_L6e,144,3.472,0.701,1.100,x
R_L6i,29,11.264,0.950,7.610,✓
