population,n_neurons,rate_hz,isi_cv,target_hz,match
L_L23e,207,54.772,0.208,0.740,x
L_L23i,58,61.533,0.172,2.650,x
L_L4e,219,98.402,0.121,4.400,x
L_L4i,55,102.505,0.114,5.400,x
L_L5e,48,52.176,0.117,6.780,x
L_L5i,11,92.727,0.128,8.310,x
L_L6e,144,135.880,0.102,1.100,x
L_L6i,29,107.586,0.107,7.610,x
R_L23e,207,55.341,0.203,0.740,x
R_L23i,58,63.257,0.171,2.650,x
R_L4e,219,99.143,0.121,4.400,x
R_L4i,55,102.141,0.117,5.400,x
R_L5e,48,103.333,0.118,6.780,x
R_L5i,11,93.535,0.122,8.310,x
R_L6e,144,136.543,0.101,1.100,x
R_L6i,29,108.084,0.107,7.610,x
